LIWC_achievement
LIWC_adjectives
LIWC_admiration
LIWC_adverbs
LIWC_affective_processes
LIWC_affiliation
LIWC_all_punctuation
LIWC_ambifeel
LIWC_amusement
LIWC_analytical_thinking
LIWC_anger
LIWC_anger_words
LIWC_anxiety_words
LIWC_apostrophes
LIWC_articles
LIWC_assent
LIWC_authentic
LIWC_auxiliary_verbs
LIWC_badfeel
LIWC_biological_processes
LIWC_body
LIWC_boredom
LIWC_calmness
LIWC_causation
LIWC_certainty
LIWC_clout
LIWC_cognitive_processes
LIWC_colons
LIWC_commas
LIWC_comparisons
LIWC_conjunctions
LIWC_curiosity
LIWC_dashes
LIWC_death
LIWC_dictionary_words
LIWC_differentiation
LIWC_discrepancies
LIWC_disgust
LIWC_drives
LIWC_emotional_tone
LIWC_emotionality
LIWC_excitement
LIWC_exclamations
LIWC_external_focus
LIWC_family
LIWC_fear
LIWC_feel
LIWC_female
LIWC_filler_words
LIWC_focus_future
LIWC_focus_past
LIWC_focus_present
LIWC_friends
LIWC_function_words
LIWC_goodfeel
LIWC_gratitude
LIWC_health
LIWC_hear
LIWC_home
LIWC_i
LIWC_impersonal_pronouns
LIWC_informal_language
LIWC_ingestion
LIWC_insight
LIWC_interrogatives
LIWC_joy
LIWC_leisure
LIWC_love
LIWC_male
LIWC_money
LIWC_motion
LIWC_negations
LIWC_negative_emotion_words
LIWC_netspeak
LIWC_non_emotion
LIWC_nonfluencies
LIWC_numbers
LIWC_other_grammar
LIWC_other_punctuation
LIWC_parentheses
LIWC_perceptual_processes
LIWC_periods
LIWC_personal_concerns
LIWC_personal_pronouns
LIWC_positive_emotion_words
LIWC_power
LIWC_prepositions
LIWC_pronouns
LIWC_quantifiers
LIWC_question_marks
LIWC_quotes
LIWC_relativity
LIWC_religion
LIWC_reward
LIWC_risk
LIWC_sad_words
LIWC_sadness
LIWC_see
LIWC_self_focus
LIWC_semicolons
LIWC_sentiment
LIWC_sexual
LIWC_she_he
LIWC_six_plus_words
LIWC_social_processes
LIWC_space
LIWC_surprise
LIWC_swear_words
LIWC_tentative
LIWC_they
LIWC_time
LIWC_time_orientation
LIWC_verbs
LIWC_we
LIWC_work
LIWC_you
Rec_achievement
Rec_active
Rec_adventurous
Rec_affiliation
Rec_aggressive
Rec_agreeableness
Rec_ambitious
Rec_anxiety_prone
Rec_artistic
Rec_assertive
Rec_authentic
Rec_cautious
Rec_cheerful
Rec_clout
Rec_conscientiousness
Rec_cooperative
Rec_disciplined
Rec_dutiful
Rec_emotionally_aware
Rec_empathetic
Rec_energetic
Rec_extraversion
Rec_friendly
Rec_generous
Rec_genuine
Rec_humble
Rec_imaginative
Rec_impulsive
Rec_intellectual
Rec_inward_focus
Rec_liberal
Rec_melancholy
Rec_negations
Rec_neuroticism
Rec_openness
Rec_organized
Rec_outward_focus
Rec_power
Rec_reward
Rec_risk_aversion
Rec_risk_seeking
Rec_self_assured
Rec_self_conscious
Rec_sociable
Rec_social
Rec_stress_prone
Rec_trusting
